@N: MF248 |Running in 64-bit mode.
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[45]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[77]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[77]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[124]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[124]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[18]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[18]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[15]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[15]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[76]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[76]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[123]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[123]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[17]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[17]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[14]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[207]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[207]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[75]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[13]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[13]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :|Instance "G_7" with 2 loads replicated 1 times to improve timing 
@N: FX271 :|Instance "G_7_0" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[12]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[206]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[206]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[74]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1_0[30]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :|Instance "G_7_1" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[11]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[11]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[205]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[205]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[73]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[73]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[41]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[41]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[191]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":277:22:277:56|Instance "uMasterSlave.u_myip_top.D_cache_D1[175]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":278:22:278:56|Instance "uMasterSlave.u_myip_top.D_cache_D2[175]" with 2 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2_fast[10]" with 36 loads replicated 2 times to improve timing 
@N: FX104 |Net "uMasterSlave.u_myip_top.my_hydra._l0\.un570_add2_in1.if_generate_plus\.mult1_un2_temp_b_1_cry_9" with "576" loads has been buffered by "2" buffers due to a soft fanout limit of "500" 
@N: FX103 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":369:3:369:16|Instance "uMasterSlave.u_myip_top.curstate[3]" with "648" loads has been replicated "1" time(s) due to a soft fanout limit of "500" 
@N: FX104 |Net "Mem_dft_mode_c" with "550" loads has been buffered by "2" buffers due to a soft fanout limit of "500" 
@N: FX164 |The option to pack flops in the IOB has not been specified 
